question_text,id
Кокой у вас размерний ряд?,1
Как узнтаь свой разме?,2
Есь ли у вас размернай слетка?,3
Как измерить параметры тела для оджеды?,4
Какиа материалы исспользуются в вашей одежде?,5
Есчть ли у вас одежда из эклогически чистых матерьялов?,6
Как выбрать размер плтья?,7
Каык выбрать размер джинсов?,8
Как выбратт размер обуви?,9
Есть ли у вась одежда больших размеров?,10
Есчть ли у вас одежда для беременнних?,11
Есть ли увас детская одежда?,12
Какие у вас есть размеры дла детей?,13
Есь ли у вас мужская одежда?,14
Естт ли у вас женская одежда?,15
Есь ли у вас унисек одежда?,16
Каки ухаживать за одеждой?,17
Можно ли стирать одежду в стиральнай машине?,18
Ккак гладить одежду?,19
Какая у вас полтика возврата?,20
Ккк вернуть товар?,21
Сколько времени заниммает обработка возврата?,22
Какомменять товар?,23
Можно ли вернуть товар бьез чека?,24
Какие способы оплаты вы принимаетет?,25
Можно ли оплать заказ наложеным платежом?,26
Можно ли оплать заказ карттой?,27
Есть ли у вас рассрочка или креидт?,28
Каки у вас сроки доставки?,29
Сколько сттоит доставка?,30
Есь ли бесплатна доставка?,31
Как отследитт заказ?,32
"Что делатт, если заказ не пришел?",33
Можно ли менять адрес доставки после оформеления заказа?,34
Каки страны вы обслуживаеете?,35
Есть ли у вас примерончые пункты?,36
Можно ли приммеритть одежду перед покупкой?,37
Есь ли у вас акции или скидки?,38
Как узнать о текщих акциях?,39
Есть ли у вас бонуснай программа?,40
Как накопитт бонусы?,41
Как испоьзовать бонусы?,42
Есть ли у вас подарочные сертификати?,43
Как активироватт подарочный сертификат?,44
"Можно ли заказать товар, которого нет в наличии?",45
"Как узнать, кагда появиттся товар в наличии?",46
Есь ли у вас список ожидания на товари?,47
Можно ли заказать индивидальный пошив одежды?,48
Как сзязаться с вашей службой поддержки?,49
Есь ли у вас онлай-чат для консультаций?,50
Каких у вас часы работы?,51
Есь ли у вас мобильнае приложение?,52
Как подписаться на рассселку новостей?,53
Как отписсаться от рассылки?,54
Есь ли у вас социальные сетти?,55
Как оставитт отзыв о товаре?,56
Какова вашя политика конфиденциальности?,57
Как защищенныы мои данные?,58
Есь ли у вас программы лояльности?,59
Можно ли получить скидку за рекоммендацию друга?,60
Как оформитт заказ?,61
Можно ли изменитт заказ после оформления?,62
Как отменитть заказ?,63
Есь ли у вас ограничения на количество товара в заказе?,64
Можно ли заказать товар с доставкой в другуу страну?,65
Есь ли у вас таможенные сбори для международных заказов?,66
Каки у вас гарантии на товар?,67
"Что делатт, если товар оказался бракоованным?",68
"Как узнть, качественный ли товар?",69
Есь ли у вас отзывы и рейтинги на товари?,70
Как сзяться с продавцом товара?,71
Есь ли у вас чат с консультантом по стилю?,72
Можно ли получитт совет по стилю от ваших специалистов?,73
Есь ли у вас услуга поиска похожих товаров?,74
Можно ли заказать товар с персонализайией?,75
Есь ли у вас ограничения на возврат персонализированных товаров?,76
"Как узнть, подойдет ли товар по стилю?",77
Есь ли у вас советы по комбинировнию одежды?,78
Можно ли заказать комплектт одежды?,79
Есь ли у вас услуга подбора гардероба?,80
"Как узнть, какие товари сейчас в тренде?",81
Есь ли у вас раздел с новинкаими?,82
Как часто вы обнавляете ассоримент?,83
Есь ли у вас ограниченные колллекции?,84
Можно ли заказать товар из прошедших коллекций?,85
Есь ли у вас распродажи?,86
Кагда следующая распродажа?,87
Каки у вас условия для оптових заказов?,88
Можно ли заказать товар для перепрожажи?,89
Есь ли у вас партнёрская программа?,90
Как стать партнером вашего магазина?,91
Есь ли у вас условия для сотрудничества с блокерами?,92
Можно ли заказать одежду с логотипом кампнии?,93
Есь ли у вас услуга разработки дизайна одежды?,94
Можно ли заказать каталоог товаров?,95
Есь ли у вас услуга срочной доставки?,96
Можно ли заказать доставку в выхоодные?,97
Есь ли у вас пункти самовывоза?,98
Как найтти ближайший пункт самовывоза?,99
